id,nombre,cargo,grupo,nucleo,nivel_riesgo,nivel_influencia,avatar_local,iniciales,descripcion,fuente_nombre,fuente_url,fecha_corte
sheinbaum,Claudia Sheinbaum Pardo,Presidenta de México,Sheinbaum,A,medio,10,,CS,Presidenta de México desde el 1 de octubre de 2024. Ha acelerado la reconfiguración de su gabinete rumbo a 2027 y sostiene una postura de defensa de soberanía ante la presión de Washington por huachicol fiscal y revocación de visas a políticos mexicanos.,El Financiero,https://www.elfinanciero.com.mx/nacional/2026/04/05/que-cambios-ha-hecho-claudia-sheinbaum-en-su-gabinete-presidencial/,2026-04-05
amlo,Andrés Manuel López Obrador,Expresidente / fundador de Morena,AMLO,A,medio,8,,AM,Expresidente de México (2018-2024) y fundador de Morena. Continúa activo políticamente desde Palenque y Tabasco; su círculo familiar quedó bajo presión tras la revocación de visas estadounidenses a sus hijos en agosto de 2026.,El Universal (Mario Maldonado),https://www.eluniversal.com.mx/opinion/mario-maldonado/la-reaccion-de-sheinbaum-a-la-carta-de-andy/,2026-08-17
andy,Andrés Manuel López Beltrán ('Andy'),Operador político en Tabasco / Morena,AMLO,B,alto,6,,AL,"Hijo de AMLO y figura operativa de Morena en Tabasco. Estados Unidos le revocó la visa en agosto de 2026; ha sido señalado en distintos reportes periodísticos como posible vinculado a redes de huachicol fiscal, señalamiento que la Presidencia ha negado.",Yucatán (con Sheinbaum),https://www.yucatan.com.mx/mexico/2026/08/18/claudia-sheinbaum-niega-vinculo-de-hijo-de-amlo-con-huachicol-fiscal-retiro-de-visa-a-andy-lopez-beltran-es-tema-politico.html,2026-08-18
alito,Alejandro 'Alito' Moreno,Dirigente nacional del PRI,Oposición (PRI),C,medio,5,,AM,Dirigente nacional del PRI y una de las voces más frecuentes de la oposición a Sheinbaum. La Presidencia lo ha señalado públicamente de pedir presión de Estados Unidos contra adversarios políticos mexicanos.,ViveUSA,https://www.viveusa.mx/noticias/sheinbaum-acusa-a-eu-de-injerencia-por-cancelar-la-visa-del-hijo-del-expresidente-lopez-obrador/,2026-08-15
garcia_harfuch,Omar García Harfuch,Secretario de Seguridad y Protección Ciudadana,Sheinbaum,A,bajo,9,,OG,"Titular de la SSPC, pieza central del gabinete de seguridad de Sheinbaum desde el inicio del sexenio.",Yahoo Finanzas,https://es-us.finanzas.yahoo.com/noticias/conformado-gabinete-presidenta-claudia-sheinbaum-135858038.html,2024-10-01
monreal,Ricardo Monreal,Coordinador de Morena en la Cámara de Diputados,Sheinbaum,B,bajo,7,,RM,Coordinador parlamentario de Morena en Diputados; anunció en julio de 2025 que se analizarían propuestas de reforma fiscal integral en septiembre de ese año.,Madison Intelligence,https://madisonintelligence.substack.com/p/9-de-julio-2025,2025-07-09
adan_augusto,Adán Augusto López Hernández,Exlíder de Morena en el Senado,AMLO,B,medio,6,,AA,"Dejó la coordinación de Morena en el Senado en febrero de 2026 para enfocarse en trabajo territorial rumbo a 2027; ha sido mencionado en la cobertura del caso de huachicol fiscal, sin imputación formal.",Quinto Poder,https://quinto-poder.mx/politicos/2026/04/04/reacomodo-del-gabinete-de-sheinbaum-en-lo-que-va-de-su-gobierno-65515.html,2026-04-04
godoy,Ernestina Godoy,Fiscal General de la República,Sheinbaum,B,bajo,7,,EG,Dejó la Consejería Jurídica de la Presidencia en noviembre de 2025 para encabezar la Fiscalía General de la República tras la salida de Alejandro Gertz Manero.,El Financiero,https://www.elfinanciero.com.mx/nacional/2026/04/05/que-cambios-ha-hecho-claudia-sheinbaum-en-su-gabinete-presidencial/,2026-04-05
gertz,Alejandro Gertz Manero,Exfiscal General / embajador designado en Alemania,Institucional,,medio,4,,AG,"Salió de la FGR y fue designado embajador de México en Alemania; en 2025 declaró que Rafael Ojeda Durán había denunciado 'problemas' en la Semar, versión que el propio Ojeda no confirmó como denuncia formal.",Proceso,https://www.proceso.com.mx/nacional/justicia/2026/5/12/ojeda-nunca-denuncio-el-caso-de-huachicol-fiscal-en-el-que-estan-implicados-sus-sobrinos-373940.html,2026-05-12
montiel,Ariadna Montiel,Presidenta del Comité Ejecutivo Nacional de Morena,Sheinbaum,B,bajo,6,,AM,"Dejó la Secretaría de Bienestar en abril de 2026 para asumir la dirigencia nacional de Morena, en una jugada leída como fortalecimiento de la estructura partidista rumbo a 2027.",Expansión Política,https://politica.expansion.mx/mexico/2026/04/29/cambios-gabinete-sheinbaum-para-tomar-control-en-morena,2026-04-29
